,wallet,num_transactions,unique_tokens,total_value_sent,total_value_received,avg_tx_value,first_tx,last_tx,active_days,raw_risk_score,risk_score,model_predicted_score
0,0x0039f22efb07a647557c7c5d17854cfd6d489ef3,1.0,0.6666666666666666,0.0004309429288652002,2.4428206915660224e-28,2.3757624632447204e-26,2023-01-12 00:28:59+00:00,2025-06-16 21:15:11+00:00,0.3722689075630252,0.004517518415070865,5,7.94
1,0x06b51c6882b27cb05e712185531c1f74996dd988,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.168548078846612e-40,2.057078134208642e-38,2020-10-16 00:13:42+00:00,2020-10-16 00:16:57+00:00,0.0,0.9032463938712708,903,903.0
2,0x0795732aacc448030ef374374eaae57d2965c16c,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.144497840886838e-40,2.0490613882220508e-38,2020-11-25 12:42:08+00:00,2020-11-25 13:13:37+00:00,0.0,0.9032463938715913,903,903.0
3,0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0.5612244897959183,0.6444444444444445,0.0007002589372792759,2.5063974679302958e-21,4.3972555716481515e-21,2019-07-28 05:17:20+00:00,2024-09-18 16:16:11+00:00,0.7894957983193278,0.013360139002401926,14,13.37
4,0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.16700685039419e-40,2.056564391391168e-38,2020-10-21 12:38:58+00:00,2020-10-21 13:02:48+00:00,0.0,0.9032463938712912,903,903.0
5,0x104ae61d8d487ad689969a17807ddc338b445416,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.1321613079947494e-40,2.0449492105913548e-38,2020-12-16 04:58:33+00:00,2020-12-16 05:19:37+00:00,0.0,0.9032463938717568,903,903.0
6,0x111c7208a7e2af345d36b6d4aace8740d61a3078,0.02040816326530612,0.022222222222222223,1.130728597684139e-17,6.159106067098564e-40,3.0817514623146136e-38,2020-11-05 19:34:53+00:00,2020-11-05 20:16:30+00:00,0.0,0.8451942592789045,845,852.33
7,0x124853fecb522c57d9bd5c21231058696ca6d596,0.03061224489795918,0.04444444444444444,2.988793840179196e-20,6.1724733608587315e-40,1.2368235754962588e-38,2020-11-08 04:54:42+00:00,2020-11-08 05:26:05+00:00,0.0,0.74199046444763,742,735.11
8,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.133114700700825e-40,2.0452670081600463e-38,2020-12-14 07:21:59+00:00,2020-12-14 07:25:50+00:00,0.0,0.9032463938717439,903,903.0
9,0x1656f1886c5ab634ac19568cd571bc72f385fdf7,1.0,0.17777777777777778,1.2237584450568253e-06,6.67713741327348e-29,1.3354274826596533e-28,2021-03-02 01:58:16+00:00,2021-06-17 09:10:49+00:00,0.04495798319327732,0.06396149999571935,64,64.62
10,0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,0.02040816326530612,0.022222222222222223,4.4823069526545846e-11,2.445660719003647e-33,1.2228303567097215e-31,2021-06-06 00:01:40+00:00,2021-06-27 16:56:36+00:00,0.008823529411764706,0.4918334399381158,492,472.15
11,0x19df3e87f73c4aaf4809295561465b993e102668,0.15306122448979592,0.15555555555555556,1.8587293759428957e-06,1.5414416463510672e-28,1.5033009893572658e-27,2019-08-02 17:34:26+00:00,2025-05-28 01:39:23+00:00,0.8928571428571429,0.11883144344882024,119,113.18
12,0x1ab2ccad4fc97c9968ea87d4435326715be32872,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.15414542105432e-40,2.0522772482778783e-38,2020-11-14 16:15:58+00:00,2020-11-14 16:25:38+00:00,0.0,0.9032463938714624,903,903.0
13,0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,0.38775510204081626,0.24444444444444444,3.0444909850125347e-07,2.92308820178154e-29,1.1460599845687607e-28,2021-01-03 09:10:19+00:00,2021-08-31 14:10:25+00:00,0.10084033613445378,0.059019233147735585,59,53.87
14,0x1e43dacdcf863676a6bec8f7d6896d6252fac669,0.0,0.022222222222222223,0.0,1.9487302059046834e-42,1.1942079794854802e-40,2020-12-12 23:06:43+00:00,2020-12-13 00:06:46+00:00,0.0,0.9999999683788013,999,971.27
15,0x22d7510588d90ed5a87e0f838391aaafa707c34b,1.0,0.35555555555555557,1.9300473258012e-05,9.5051968775657e-28,2.0036026111596565e-27,2021-01-04 18:46:38+00:00,2022-02-20 12:55:48+00:00,0.17268907563025213,0.024333217431679162,25,26.36
16,0x24b3460622d835c56d9a4fe352966b9bdc6c20af,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.1556268140484515e-40,2.0527710459425885e-38,2020-11-11 19:52:01+00:00,2020-11-11 20:03:52+00:00,0.0,0.9032463938714427,903,903.0
17,0x26750f1f4277221bdb5f6991473c6ece8c821f9d,0.02040816326530612,0.04444444444444444,2.3999120588596315e-21,2.618906764545764e-33,6.547266911280995e-32,2019-08-21 07:57:33+00:00,2020-12-14 06:09:36+00:00,0.20168067226890757,0.39528352498754643,395,403.3
18,0x27f72a000d8e9f324583f3a3491ea66998275b28,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.158551994726804e-40,2.053746106168706e-38,2020-11-06 20:18:51+00:00,2020-11-06 20:23:33+00:00,0.0,0.9032463938714038,903,903.0
19,0x2844658bf341db96aa247259824f42025e3bcec2,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.132289448017339e-40,2.0449919239322176e-38,2020-12-15 06:54:54+00:00,2020-12-15 23:00:30+00:00,0.0,0.903246393871755,903,903.0
20,0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,0.010204081632653062,0.022222222222222223,2.3999120588596315e-21,6.161774749926043e-40,2.0548203579017857e-38,2020-11-01 01:50:47+00:00,2020-11-01 01:57:18+00:00,0.0,0.9032463938713607,903,903.0
21,0x330513970efd9e8dd606275fb4c50378989b3204,0.7857142857142856,0.2888888888888889,0.0013264198526667232,7.383594764579536e-26,1.8507441691105538e-25,2018-09-20 10:16:36+00:00,2023-11-09 02:02:59+00:00,0.7878151260504203,0.03448930950843553,35,35.67
